name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"London,UK",2013-01-01T00:00:00,9.6,7.3,8.1,90.38,0.002,100,rain,0,0,,16.9,234,999.6,36.1,21.6,0,0,0,,"Rain, Partially cloudy",rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-01T01:00:00,9.3,7,7.8,90.36,0,0,,0,0,,16,241,999.8,41.2,17.7,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-01T02:00:00,9.1,6.8,8,92.83,0,0,,0,0,,15.4,262,1000.2,21.3,13.5,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-01T03:00:00,7.8,5.1,6.1,89,0,0,,0,0,,16.4,289,1000.9,39.2,41.8,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-01T04:00:00,7.3,4.6,5.6,88.95,0,0,,0,0,,15.2,279,1001.5,25.9,53.9,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-01T05:00:00,6.3,3.5,4.6,88.86,0,0,,0,0,,14.5,283,1002.3,14.8,46.6,0,0,0,,Clear,clear-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-01T06:00:00,5.3,2.5,3.6,88.79,4.317,100,rain,0,0,,13.3,268,1003.3,21.1,50.1,0,0,0,,"Rain, Partially cloudy",rain,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-01T07:00:00,5.1,2,3.3,88.16,0,0,,0,0,,14.9,262,1004.2,10,47.1,0,0,0,,Clear,clear-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-01T08:00:00,4.6,1.3,2.6,86.89,0,0,,0,0,,15.4,257,1005.2,10,41.1,22.1,0.1,0,,Clear,clear-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-01T09:00:00,4.6,1.6,2.6,86.89,0,0,,0,0,,13.2,252,1006.3,10,38.4,93.1,0.3,1,,Clear,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-01T10:00:00,5.3,2.2,2.8,83.92,0,0,,0,0,,14.6,259,1007.3,10,35,186.4,0.7,2,,Clear,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-01T11:00:00,6.8,3.4,2.8,75.69,0,0,,0,0,,19.9,263,1008.1,10,35,232.3,0.8,2,,Clear,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-01T12:00:00,7.3,4.1,2.5,71.61,0,0,,0,0,,19.2,269,1008.4,10,37,237.9,0.9,2,,Clear,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-01T13:00:00,7.5,4.1,3.1,73.63,0,0,,0,0,,22.1,280,1008.9,10,42.6,202.6,0.7,2,,Clear,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-01T14:00:00,7.3,3.8,1.8,68.08,0,0,,0,0,,21.9,276,1009.7,26.6,38.4,122.3,0.4,1,,Partially cloudy,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-01T15:00:00,7.3,4.1,1.8,68.1,0,0,,0,0,,19.6,276,1010.3,30,45.4,29.1,0.1,0,,Partially cloudy,partly-cloudy-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-01T16:00:00,6.8,4.1,2,71.49,0,0,,0,0,,14.3,256,1011,10,44,0,0,0,,Clear,clear-day,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-01T17:00:00,6.5,3.7,2.3,74.53,0,0,,0,0,,14.6,261,1011.9,40,43.1,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-01T18:00:00,5.8,2.9,2.3,78.22,0,0,,0,0,,14.3,248,1012.8,10,42.2,0,0,0,,Clear,clear-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-01T19:00:00,5.1,1.1,2.1,80.93,0,0,,0,0,,21.3,257,1013.6,50,36.3,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-01T20:00:00,6.1,2.7,2.3,76.63,0,0,,0,0,,18.3,256,1014.3,40,37,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-01T21:00:00,5.3,2,2.1,79.85,0,0,,0,0,,16.4,256,1015.5,30,33.8,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-01T22:00:00,5.3,2.4,2.1,79.86,0,0,,0,0,,13.4,263,1016.4,10,31.8,0,0,0,,Clear,clear-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-01T23:00:00,4.3,0.7,2,84.99,0,0,,0,0,,16.4,260,1017.2,10,32,0,0,0,,Clear,clear-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-02T00:00:00,4,1,2.3,88.68,0,0,,0,0,,12.6,253,1018.1,93,29.1,0,0,0,,Overcast,cloudy,"03769099999,03672099999,03781099999,03772099999,03770099999"
"London,UK",2013-01-02T01:00:00,3.6,0.4,2.1,89.91,0,0,,0,0,,13.4,254,1018.6,57.7,27.9,0,0,0,,Partially cloudy,partly-cloudy-night,"03769099999,03672099999,03781099999,03772099999,03770099999"
